iter	Passed	Remaining
861	6690	1071
862	6698	1063
863	6704	1055
864	6712	1047
865	6718	1039
866	6726	1031
867	6733	1024
868	6741	1016
869	6747	1008
870	6755	1000
871	6762	992
872	6769	984
873	6777	977
874	6785	969
875	6794	961
876	6800	953
877	6806	945
878	6814	938
879	6822	930
880	6828	922
881	6836	914
882	6842	906
883	6848	898
884	6855	890
885	6861	882
886	6881	876
887	6889	868
888	6895	861
889	6903	853
890	6921	846
891	6943	840
892	6951	832
893	6957	824
894	6964	817
895	6971	809
896	6978	801
897	6986	793
898	6993	785
899	7001	777
900	7009	770
901	7016	762
902	7024	754
903	7032	746
904	7039	739
905	7047	731
906	7055	723
907	7063	715
908	7071	707
909	7078	700
910	7085	692
911	7094	684
912	7101	676
913	7108	668
914	7116	661
915	7122	653
916	7128	645
917	7135	637
918	7141	629
919	7146	621
920	7155	613
921	7160	605
922	7168	598
923	7176	590
924	7183	582
925	7191	574
926	7197	566
927	7203	558
928	7210	551
929	7218	543
930	7224	535
931	7230	527
932	7237	519
933	7244	511
934	7251	504
935	7257	496
936	7265	488
937	7272	480
938	7280	472
939	7288	465
940	7296	457
941	7302	449
942	7310	441
943	7318	434
944	7325	426
945	7333	418
946	7340	410
947	7345	402
948	7351	395
949	7357	387
950	7363	379
951	7368	371
952	7374	363
953	7382	355
954	7387	348
955	7394	340
956	7400	332
957	7407	324
958	7413	316
959	7419	309
960	7427	301
961	7432	293
962	7439	285
963	7445	278
964	7451	270
965	7458	262
966	7464	254
967	7472	247
968	7478	239
969	7485	231
970	7491	223
971	7499	216
972	7505	208
973	7511	200
974	7516	192
975	7521	184
976	7526	177
977	7531	169
978	7538	161
979	7544	153
980	7551	146
981	7560	138
982	7564	130
983	7572	123
984	7578	115
985	7594	107
986	7601	100
987	7608	92
988	7614	84
989	7622	76
990	7628	69
991	7634	61
992	7641	53
993	7646	46
994	7653	38
995	7658	30
996	7663	23
997	7670	15
998	7676	7
999	7683	0
